Student,LPIPS,SSIM
113590003.png,0.0,1.0
113370239.png,0.25917962193489075,0.6596101301861014
111590047.png,0.26351815462112427,0.6712356910423172
113590051.png,0.26911213994026184,0.697563252113485
113590026.png,0.27656272053718567,0.6713977545368017
113590039.png,0.2782343327999115,0.6906968270826691
113590031.png,0.29332423210144043,0.6401604981469523
112590454.png,0.3038579225540161,0.6581870771312409
113590033.png,0.3052390217781067,0.6701344802001977
111590028.png,0.30725228786468506,0.6969907007400338
113590021.png,0.30927181243896484,0.6498579401501745
113590450.png,0.3097871243953705,0.6747273093262712
113590002.png,0.3200197219848633,0.6456408600559319
113590032.png,0.3204943537712097,0.7076763634975587
111590062.png,0.32143762707710266,0.6850478192033846
113590060.png,0.32262513041496277,0.6700938494032477
112590455.png,0.3254912495613098,0.6662484304858247
113590061.png,0.32820484042167664,0.6551484918062174
113590001.png,0.32975807785987854,0.6333389378585886
113590451.png,0.3320692479610443,0.638921744012319
113590040.png,0.3328952193260193,0.6621144122699718
113590056.png,0.33451104164123535,0.6434626883919965
110590455.png,0.3390418589115143,0.660851476195189
114054809.png,0.34010058641433716,0.6441409013348939
113590005.png,0.3426426649093628,0.7265813898970325
113590022.png,0.3435368537902832,0.6269921477223953
113590052.png,0.3444088399410248,0.6269348866741298
113590015.png,0.34498730301856995,0.6473635991673085
113AC1012.png,0.3496537506580353,0.6775622251514052
113590047.png,0.3511432409286499,0.7030332959899802
113AB0018.png,0.3549409508705139,0.5961324084506882
113590045.png,0.35845673084259033,0.6186847749201609
113590004.png,0.362601637840271,0.711444209782539
113590044.png,0.3643070161342621,0.6137581608805828
113590011.png,0.36855441331863403,0.608898281288162
113590036.png,0.3740551471710205,0.5926289180576276
112590040.png,0.37739378213882446,0.6339396503008966
112590452.png,0.37822839617729187,0.6191180371774925
113590006.png,0.380447119474411,0.5678345864519438
113590043.png,0.38448840379714966,0.730849784743938
113590028.png,0.39051157236099243,0.5856387811249377
113590025.png,0.3917692303657532,0.7375170634641555
113590010.png,0.39531296491622925,0.5948084064888355
113590057.png,0.4006566107273102,0.595421995674542
113590050.png,0.40252047777175903,0.558129817242604
113590062.png,0.40942466259002686,0.5806349571292165
113590059.png,0.41570234298706055,0.5600254732466372
113590042.png,0.42011287808418274,0.5977451208554851
111590042.png,0.42620986700057983,0.743782632032848
113590018.png,0.4274587631225586,0.6048414948782103
113590023.png,0.4446107745170593,0.5317225717702007
113590049.png,0.45704543590545654,0.5169182103011252
111590455.png,0.5181692838668823,0.5435894149945372
113590013.png,0.5338727831840515,0.3900493298795895
113590008.png,0.5344153046607971,0.4715596527227356
112590058.jpg,0.536077618598938,0.44707568972115996
